country,year,vacation_days,policy,happiness_vacation,happiness_policy,log_population,log_gdp,gdp,population,gdp_cap,log_gdp_cap,democracy,corruption,lag_policy,lag_happiness_policy,lag_vacation_days,lag_happiness_vacation
Mikib,2011,5,0,31.8,35.2,17.143081613548507,25.81319255457052,162377962174.6083,27870563.37239278,5826.145672227493,8.670110941022013,20.7,65.8,0,38.2,5,32.1
Mikib,2012,5,0,33.1,30,17.17302859360492,25.916919211305228,180125417897.5331,28717825.73305536,6272.251234194293,8.743890617700309,30,65.8,0,35.2,5,31.8
Mikib,2013,5,0,33.1,34.9,17.202975573661327,26.03171191244442,202036035589.43845,29590844.78540016,6827.653521035029,8.828736338783091,19.9,65.9,0,30,5,33.1
Mikib,2014,4,0,31.2,35.7,17.23292255371774,26.106887661113632,217809717073.72446,30490403.530298457,7143.549833877598,8.873965107395893,17.2,68.4,0,34.9,5,33.1
Mikib,2015,4,1,30.5,34.6,17.26286953377415,26.233018668528,247090046663.32245,31417308.771769986,7864.77442922626,8.97014913475385,15.1,68.2,0,35.7,4,31.2
Mikib,2016,3,1,28.3,42.2,17.29281651383056,26.40174900599835,292505411996.2256,32372391.840596605,9035.64412035224,9.108932492167792,12.6,69.6,1,34.6,4,30.5
Mikib,2017,3,1,28.1,37.9,17.32276349388697,26.40279255510938,292810815082.7296,33356509.339933794,8778.221129156998,9.080029061222408,9.2,68.8,1,42.2,3,28.3
Mikib,2018,2,1,26,39.6,17.352710473943382,26.52838308542333,331994116866.1884,34370543.9135876,9659.262818210515,9.175672611479946,0,69.7,1,37.9,3,28.1
Mikib,2019,3,1,29.2,48.5,17.38265745399979,26.678653309546974,385826378869.1221,35415405.037648164,10894.30936788585,9.295995855547183,8,71.7,1,39.6,2,26
Hinaz,2010,10,0,58.2,53.4,15.228796349004735,23.728000329762754,20180857222.044315,4109435.9927101783,4910.858146432648,8.499203980758018,45,43.5,0,56,9,54.6
Hinaz,2011,11,0,61.3,55.5,15.264391531473896,23.79888193400306,21663224449.76175,4258346.645278717,5087.238370737159,8.534490402529164,47.7,41.9,0,53.4,10,58.2
Hinaz,2012,13,0,67.1,63.8,15.299986713943056,23.78476273923807,21359506337.649548,4412653.265198427,4840.51319103339,8.484776025295012,57.4,39.8,0,55.5,11,61.3
Hinaz,2013,13,0,66,59,15.335581896412217,23.898065148116633,23922018504.701572,4572551.382225927,5231.656575296107,8.562483251704416,52.8,37.5,0,63.8,13,67.1
Hinaz,2014,14,0,69.1,63,15.371177078881377,23.895888494421847,23870005182.76708,4738243.611387862,5037.7327846542275,8.52471141554047,59.2,37.5,0,59,13,66
Hinaz,2015,15,0,72.2,65.2,15.406772261350538,23.940117305646986,24949442286.48447,4909939.909724693,5081.414995949191,8.533345044296448,61.2,35.1,0,63,14,69.1
Hinaz,2016,15,0,72.7,64.4,15.442367443819698,24.052661455594567,27921461392.096085,5087857.84233793,5487.861936658563,8.610294011774869,61.5,33.9,0,65.2,15,72.2
Hinaz,2017,17,0,76.8,68.5,15.477962626288859,24.032614581698653,27367296571.441757,5272222.858077921,5190.845931239518,8.554651955409794,66.7,30.4,0,64.4,15,72.7
Hinaz,2018,17,1,78.1,78.9,15.51355780875802,24.09277685053392,29064311529.053993,5463268.575221549,5319.949244464036,8.5792190417759,69,29.4,0,68.5,17,76.8
Hinaz,2019,18,1,80.3,77.5,15.549152991227178,24.154280238139993,30907979944.492836,5661237.077501801,5459.580568940235,8.605127246912815,72.4,28.7,1,78.9,17,78.1
Nitij,2010,13,0,54.3,49.2,16.001318578497273,24.52366583600052,44719068501.37046,8897835.283075737,5025.836855670845,8.522347257503249,38.4,61.9,0,49.9,12,52.8
Nitij,2011,14,0,56.2,50.3,16.04302323085665,24.572092288071442,46937946922.25949,9276763.014837464,5059.733319390167,8.529069057214791,36.2,63.1,0,49.2,13,54.3
Nitij,2012,16,0,60.3,51.6,16.084727883216026,24.568959916401074,46791149858.56478,9671827.955406697,4837.880706139714,8.484232033185048,39.7,63.8,0,50.3,14,56.2
Nitij,2013,17,1,61.5,53.9,16.126432535575404,24.65088110905715,50785723016.93499,10083717.332152393,5036.408830600833,8.524448573481745,33.2,64.2,0,51.6,16,60.3
Nitij,2014,18,1,63.1,51.5,16.168137187934782,24.657643732281382,51130331642.68339,10513147.63905712,4863.465576449286,8.4895065443466,32.9,67.3,1,53.9,17,61.5
Nitij,2015,19,1,65.2,59.2,16.20984184029416,24.701350428629713,53414625363.75115,10960865.883080067,4873.212201802923,8.491508588335552,30.8,67.5,1,51.5,18,63.1
Nitij,2016,20,1,66.7,59.7,16.251546492653535,24.76325047130209,56825469638.8058,11427650.883598076,4972.629127160901,8.511703978648555,26.9,69,1,59.2,19,65.2
Nitij,2017,21,1,68.8,59.8,16.293251145012913,24.806722198547384,59350251676.896904,11914314.627185592,4981.423903434104,8.51347105353447,26.1,68.3,1,59.7,20,66.7
Nitij,2018,22,1,70.6,62.8,16.33495579737229,24.858867372167513,62527192068.47517,12421703.680089528,5033.705011712573,8.523911574795221,25.9,70.1,1,59.8,21,68.8
Nitij,2019,23,1,72.3,57.1,16.37666044973167,24.913871084015167,66062763156.41677,12950700.66085692,5101.095677092543,8.537210634283497,23.5,72.4,1,62.8,22,70.6
Dalup,2010,14,0,42.9,39,18.49510120036546,24.792722543874003,58525157640.26219,107725965.10174863,543.2780999918116,6.297621343508542,41.5,46.8,0,36.1,13,40.6
Dalup,2011,15,0,46.1,38.7,18.54250973599888,24.916899732032267,66263147306.41177,112956092.13615967,586.6274766883469,6.374389996033386,45.8,51,0,39,14,42.9
Dalup,2012,17,0,50.1,43.2,18.589918271632303,24.818607569302646,60059860048.41416,118440143.36396536,507.0904031570683,6.228689297670343,56.4,54.8,0,38.7,15,46.1
Dalup,2013,18,0,52,42.6,18.637326807265726,24.97185564937829,70006620239.81085,124190446.87883624,563.7037469404656,6.334528842112565,55.5,57.9,0,43.2,17,50.1
Dalup,2014,19,0,52.2,40.8,18.68473534289915,24.93212604059045,67279810807.51644,130219929.3069876,516.6629345106411,6.247390697691301,59.3,63.9,0,42.6,18,52
Dalup,2015,20,0,55.8,44.2,18.73214387853257,24.97988424502699,70570937392.32324,136542144.8661083,516.8436270099925,6.247740366494423,61.5,66.9,0,40.8,19,52.2
Dalup,2016,20,0,54.8,40.4,18.77955241416599,25.110602997254084,80425972117.53427,143171305.83511192,561.746445269973,6.331050583088093,61.3,71.7,0,44.2,20,55.8
Dalup,2017,22,0,58.3,48.5,18.826960949799414,25.08526608401019,78413824683.80774,150122314.50319812,522.3329052932851,6.258305134210776,67.6,74.1,0,40.4,20,54.8
Dalup,2018,23,0,61.5,45,18.874369485432833,25.189095721938514,86993193937.59926,157410796.6700549,552.6507442811795,6.314726236505681,74.8,78.8,0,48.5,22,58.3
Dalup,2019,24,0,62.8,45,18.921778021066256,25.213679067293054,89158281174.83932,165053136.7725056,540.1792593480188,6.291901046226798,78.6,83.8,0,45,23,61.5
Vobur,2010,15,0,49.4,42.7,16.59940971208286,23.0858590445413,10618451629.600563,16181994.186341444,656.1893118564559,6.486449332458442,53.5,53.1,0,42.6,14,47.4
Vobur,2011,14,0,46.3,40.8,16.645229153808263,23.213419491445585,12063129532.175278,16940692.97231764,712.0800519723327,6.568190337637322,42.6,56.7,0,42.7,15,49.4
Vobur,2012,16,0,50.7,43.8,16.69104859553367,23.183969566287313,11713051458.287352,17734963.631649755,660.449702720804,6.492920970753644,52.8,59.7,0,40.8,14,46.3
Vobur,2013,15,0,47.1,40.1,16.736868037259075,23.418346672947823,14806715620.596907,18566473.96478428,797.4974488253049,6.681478635688748,34.4,62.8,0,43.8,16,50.7
Vobur,2014,16,0,50.2,45.2,16.782687478984478,23.429012383670884,14965484954.965002,19436969.967608836,769.9494818330512,6.646324904686406,50.5,67.6,0,40.1,15,47.1
Vobur,2015,16,0,49.1,39.4,16.828506920709884,23.578852289582226,17384629480.503014,20348279.4976746,854.3537787796619,6.750345368872342,39.7,70.4,0,45.2,16,50.2
Vobur,2016,17,0,50.8,44.7,16.87432636243529,23.773599252607653,21122385782.848274,21302316.112310268,991.5534851462459,6.899272890172362,42.1,73.9,0,39.4,16,49.1
Vobur,2017,17,0,50.5,41.3,16.920145804160697,23.827915346944692,22301401187.187153,22301083.086688116,1000.0142639035871,6.907769542783996,37.1,75.8,0,44.7,17,50.8
Vobur,2018,17,0,50.2,42,16.9659652458861,23.85016558217582,22803174192.26686,23346677.620278165,976.7203095510586,6.8842003362897195,37.6,79.8,0,41.3,17,50.5
Vobur,2019,18,0,51.4,41.8,17.011784687611506,24.056046590503005,28016139464.362076,24441295.240523938,1146.26247048933,7.044261902891499,34.7,84.1,0,42,17,50.2
Libum,2010,12,0,51.3,48.6,16.892399323266904,26.12432412438031,221640851860.51465,21690812.098863427,10218.190579970418,9.231924801113404,59,54.7,0,47.8,11,48.8
Libum,2011,13,0,53.5,49.9,16.933135805978573,26.116863354869263,219993393844.69464,22592663.914159805,9737.381774922753,9.18372754889069,59.9,54.3,0,48.6,12,51.3
Libum,2012,14,0,56.5,52.8,16.973872288690238,26.174142634198617,232962337123.25864,23532012.55959074,9899.80506483761,9.200270345508379,66.9,53.4,0,49.9,13,53.5
Libum,2013,15,1,58.3,56.1,17.014608771401903,26.364844505261356,281907405665.20984,24510417.06319871,11501.534426702234,9.350235733859453,63.8,52.7,0,52.8,14,56.5
Libum,2014,16,1,60.7,62.1,17.055345254113572,26.287705953811535,260979045031.8277,25529501.273663815,10222.645645688865,9.232360699697963,66.8,54.1,1,56.1,15,58.3
Libum,2015,18,1,64.8,66,17.096081736825237,26.4205502437591,298056899683.05,26590956.55538973,11208.957416112085,9.324468506933862,67.7,52.7,1,62.1,16,60.7
Libum,2016,19,1,67.3,66.9,17.136818219536902,26.62588810628223,365995950574.4109,27696544.59564572,13214.498628538324,9.489069886745327,67.3,53.3,1,66,18,64.8
Libum,2017,20,1,69.9,62.5,17.17755470224857,26.505193110878864,324383764734.9007,28848100.328422043,11244.545084145722,9.327638408630293,70,51,1,66.9,19,67.3
Libum,2018,22,1,74,71.5,17.218291184960236,26.67734858745735,385323310923.1468,30047534.9798522,12823.791075757728,9.459057402497113,73.4,51.5,1,62.5,20,69.9
Libum,2019,23,1,76.4,72.8,17.2590276676719,26.871875138173927,468065995137.7417,31296839.240257405,14955.695415263028,9.612847470502025,74.1,52.4,1,71.5,22,74
Bumar,2010,5,0,33.5,37.3,15.856831469344861,23.041003066942768,10152675126.227066,7700774.524362461,1318.39662284718,7.184171597597906,23.4,59.8,0,37.8,6,34.8
Bumar,2011,3,0,30.1,36.3,15.88463947768366,23.113051734910123,10911157591.88344,7917922.966433397,1378.0328045801052,7.228412257226463,15.6,56.6,0,37.3,5,33.5
Bumar,2012,3,0,31.6,39,15.912447486022458,23.199918343970563,11901357949.66359,8141194.616727693,1461.8687440796339,7.2874708579481045,19.3,52.6,0,36.3,3,30.1
Bumar,2013,3,0,32.9,38,15.940255494361256,23.328492555580283,13534293431.45073,8370762.139062735,1616.8531857203327,7.3882370612190265,21.3,48.8,0,39,3,31.6
Bumar,2014,2,1,31.3,39.5,15.968063502700055,23.342381365771868,13723580104.576298,8606803.066075116,1594.5037895278042,7.374317863071813,18.3,46.8,0,38,3,32.9
Bumar,2015,1,1,30.7,43.6,15.995871511038853,23.44682086087337,15234384693.465015,8849499.93651287,1721.4966724400133,7.4509493498345165,15.5,42.7,1,39.5,2,31.3
Bumar,2016,0,1,29.7,48.9,16.02367951937765,23.584279125169374,17479229463.546143,9099040.436399108,1920.9970090498296,7.560599605791722,15.5,39.6,1,43.6,1,30.7
Bumar,2017,0,1,31.2,48,16.05148752771645,23.649541266513538,18658007855.54874,9355617.54417621,1994.3106660193894,7.598053738797088,17.4,34.6,1,48.9,0,29.7
Bumar,2018,-1,1,30,45,16.07929553605525,23.752928018116,20690241855.350655,9619429.679942846,2150.88030618813,7.67363248206075,14.4,32.3,1,48,0,31.2
Bumar,2019,-2,1,28.4,45.2,16.107103544394047,23.82880785603629,22321314275.486366,9890680.858899217,2256.8025997323116,7.721704311642242,9.4,29.9,1,45,-1,30
Dajab,2010,13,0,44.2,39.5,16.8224704237625,26.296646123425734,263322702698.6588,20225817.164223254,13019.137894929714,9.474175699663235,25.9,47.4,0,37.5,13,43.9
Dajab,2011,14,0,47.5,41.4,16.866987152718856,26.43465971895608,302292134324.1248,21146546.259921636,14295.106662266136,9.567672566237224,32.3,45.7,0,39.5,13,44.2
Dajab,2012,15,0,49.9,45.3,16.911503881675213,26.331294430523336,272606290130.7006,22109189.215553705,12329.999416664426,9.419790548848123,44.8,44.2,0,41.4,14,47.5
Dajab,2013,16,0,53.5,46.3,16.95602061063157,26.575561488593465,348032425322.1981,23115654.053427808,15056.13574756664,9.619540877961896,38.8,41.6,0,45.3,15,49.9
Dajab,2014,17,1,57.3,50.6,17.000537339587925,26.57647206493804,348349479745.0638,24167935.65373499,14413.704369956346,9.575934725350116,50.7,41.4,0,46.3,16,53.5
Dajab,2015,17,1,57.2,54.6,17.04505406854428,26.72678680084361,404851755338.2957,25268119.708534077,16022.23513297512,9.681732732299327,48.9,38.9,1,50.6,17,57.3
Dajab,2016,19,1,62.8,53.6,17.089570797500638,26.841405465907368,454019264046.195,26418386.85573196,17185.730019230417,9.75183466840673,57.4,37.9,1,54.6,17,57.2
Dajab,2017,19,1,63.8,59.4,17.134087526456995,26.83877494765241,452826527529.3839,27621017.001252823,16394.274240837865,9.704687421195416,55.7,34.7,1,53.6,19,62.8
Dajab,2018,19,1,65.1,61.3,17.178604255413354,26.910365594482574,486433283975.22394,28878393.837963287,16844.194545742463,9.73176133906922,56.2,33.8,1,59.4,19,63.8
Dajab,2019,21,1,69.1,66.2,17.22312098436971,27.008131392564863,536392170875.87823,30193009.570309684,17765.442349388708,9.785010408195152,67.5,32,1,61.3,19,65.1
Hohan,2010,9,0,58.2,52.8,17.231851002447616,26.79552308069384,433658450453.7817,30457748.998296194,14238.033496107691,9.563672078246224,41.4,60.5,0,59.4,9,58.1
Hohan,2011,10,0,60.3,59.6,17.272530732020346,26.836772461869714,451920656145.96967,31722308.579625625,14246.14652529501,9.564241729849368,37.3,58.3,0,52.8,9,58.2
Hohan,2012,11,1,62.6,69,17.31321046159308,26.78491213663551,429081252040.04724,33039370.758399963,12986.968038153607,9.471701675042429,40.7,55.6,0,59.6,10,60.3
Hohan,2013,12,1,65.9,70.8,17.353890191165814,26.912712873834707,487576419883.6832,34411115.36290015,14169.154784484455,9.558822682668893,38,52.5,1,69,11,62.6
Hohan,2014,12,1,65.4,67,17.394569920738544,26.902016094765703,482388717956.7371,35839812.72457392,13459.57696999858,9.507446174027159,34.8,52,1,70.8,12,65.9
Hohan,2015,13,1,67.7,75.3,17.435249650311277,26.97505418301303,518940039709.3641,37327827.43559054,13902.229927653816,9.539804532701751,33.3,48.8,1,67,12,65.4
Hohan,2016,13,1,67.7,69,17.47592937988401,27.0005902184257,532362357966.5723,38877622.26240234,13693.284902389923,9.524660838541688,28.2,47,1,75.3,13,67.7
Hohan,2017,14,1,70.9,67.7,17.51660910945674,27.03692025796892,552058721982.6805,40491762.22179256,13633.852707096163,9.520311148512178,28.5,42.8,1,69,13,67.7
Hohan,2018,15,1,72.6,77.7,17.557288839029475,27.059299407275027,564552606365.1785,42172918.826154545,13386.61449287825,9.502010568245552,27.5,41.1,1,67.7,14,70.9
Hohan,2019,16,1,75.3,73.1,17.59796856860221,27.177343984755183,635287814768.2609,43923874.50502727,14463.382885213132,9.579375416152974,25.6,39.9,1,77.7,15,72.6
Zokop,2010,10,0,46,43.9,17.36325819284432,24.520608668472722,44582563582.79452,34734993.42588786,1283.5057440824878,7.157350475628402,27.9,55.6,0,42.5,8,41.1
Zokop,2011,12,0,50.1,45.2,17.402721056982553,24.54940796746648,45885177311.41214,36133141.77950888,1269.891713026561,7.1466869104839255,28.7,54.7,0,43.9,10,46
Zokop,2012,14,0,54.3,45.6,17.442183921120787,24.498273379176492,43597837139.4022,37587568.215430506,1159.900446060364,7.056089458055705,29.6,52.9,0,45.2,12,50.1
Zokop,2013,16,0,58.7,51.8,17.481646785259016,24.57895734315057,47261287117.41636,39100538.03156554,1208.7119384204564,7.097310557891554,31.6,50.4,0,45.6,14,54.3
Zokop,2014,17,1,60.2,56.5,17.52110964939725,24.567629872925703,46728956963.78563,40674407.708298676,1148.8540238596188,7.046520223528454,24.6,50.7,0,51.8,16,58.7
Zokop,2015,20,1,67.1,64.2,17.560572513535483,24.590889591102204,47828598432.38894,42311628.578750424,1130.3889743541856,7.030317077566721,36.7,48.4,1,56.5,17,60.2
Zokop,2016,21,1,68.9,64.6,17.600035377673716,24.6970706168064,53186509313.6617,44014750.64677747,1208.3792031559703,7.097035239132683,30.5,47.5,1,64.2,20,67.1
Zokop,2017,23,1,73.2,74.8,17.63949824181195,24.71278736466562,54029031783.68582,45786426.558653906,1180.022898587049,7.073289122853669,32.3,44.3,1,64.6,21,68.9
Zokop,2018,24,1,75.2,64.1,17.678961105950183,24.727095200716622,54807627036.644356,47629415.7346202,1150.7096232718757,7.048134094766439,27.6,42.5,1,74.8,23,73.2
Zokop,2019,27,1,81.9,63.2,17.718423970088413,24.772710595544282,57365596446.897896,49546588.66673461,1157.8112235487351,7.05428662545587,36.6,42.1,1,64.1,24,75.2
Gajin,2010,11,0,59.1,53.6,18.692008675224205,25.21819384721945,89561721229.2046,131170514.90004101,682.7885161345555,6.526185171995245,33.8,51.9,0,55.3,11,59.5
Gajin,2011,11,0,59.5,56.9,18.738952329968118,25.253458836950365,92776465212.4604,137474957.32913664,674.8608402208046,6.514506506982247,37,53.3,0,53.6,11,59.1
Gajin,2012,11,0,59.9,61.5,18.785895984712027,25.295398930152306,96750267155.75719,144082409.88495168,671.4925661849443,6.509502945440278,36.2,55.3,0,56.9,11,59.5
Gajin,2013,11,1,59.3,64,18.83283963945594,25.392477728978395,106613686218.50722,151007436.12928143,706.0161337169677,6.559638089522455,33.3,56.3,0,61.5,11,59.9
Gajin,2014,11,1,59.3,64.3,18.879783294199854,25.363953736398717,103615600187.77696,158265299.59172097,654.6956310389925,6.484170442198863,34.3,59.8,1,64,11,59.3
Gajin,2015,11,1,59.8,62.2,18.926726948943767,25.446025038933666,112478174905.87982,165871997.4121872,678.1022514992375,6.519298089989899,35.5,60.4,1,64.3,11,59.3
Gajin,2016,10,1,57,67,18.973670603687676,25.650518004618085,137999790587.1557,173844295.60039705,793.8125902293945,6.676847400930409,27,63.5,1,62.2,11,59.8
Gajin,2017,11,1,59.2,67.9,19.02061425843159,25.64252935539846,136901750436.17218,182199765.99002376,751.3826908189781,6.62191509696687,26.9,63,1,67,10,57
Gajin,2018,10,1,57.8,61.9,19.067557913175502,25.706640434053327,145966128337.87396,190956824.96897298,764.3933562552206,6.639082520877825,27.5,67.2,1,67.9,11,59.2
Gajin,2019,10,1,56.8,61.2,19.114501567919415,25.765649741924673,154838696139.4729,200134774.07115647,773.672125986567,6.651148174005257,22.9,69.3,1,61.9,10,57.8
Bagib,2010,24,0,77.8,67.7,14.187041266307883,25.94519772824514,185291802140.1203,1449952.371053397,127791.64739425541,11.758156461937258,33.1,59.5,0,62.9,25,80.1
Bagib,2011,25,0,84.3,66.1,14.221026510979138,26.0592139752274,207669554948.3205,1500076.269298986,138439.33085173622,11.838187464248263,33.4,58.9,0,67.7,24,77.8
Bagib,2012,26,1,86.9,74.1,14.255011755650395,26.142116099246532,225619569996.51932,1551932.917685542,145379.71804412434,11.887104343596137,39.6,57.9,0,66.1,25,84.3
Bagib,2013,27,1,91.2,81.6,14.28899700032165,26.27381992126813,257380126696.93237,1605582.2162439052,160303.29938447298,11.984822920946481,37.7,56.9,1,74.1,26,86.9
Bagib,2014,27,1,91.1,83.6,14.322982244992907,26.314555147208416,268081036622.58154,1661086.1357095311,161389.00377256537,11.991572902215509,39.7,57.4,1,81.6,27,91.2
Bagib,2015,27,1,94.5,80.2,14.356967489664164,26.42615831573922,299733120019.6374,1718508.7891053658,174414.65642760822,12.069190826075054,35.5,55.8,1,83.6,27,91.1
Bagib,2016,31,1,107.7,91.6,14.39095273433542,26.620715475006147,364107676356.9261,1777916.5057993205,204794.5869050974,12.229762740670727,39.3,55.1,1,80.2,27,94.5
Bagib,2017,30,1,106.2,90.5,14.424937979006677,26.63591403900249,369683857813.576,1839377.908121867,200983.0911751294,12.210976059995813,40.7,52.2,1,91.6,31,107.7
